BEGIN TRANSACTION;
DROP TABLE employee;
CREATE TABLE employee (id INT PRIMARY KEY, first_name VARCHAR, surname VARCHAR, mf VARCHAR, date_birth DATE, date_started DATE, salary INT);
COMMIT;

INSERT INTO employee VALUES (1, 'Rob', 'Tanner', 'M', '25/05/1964', '21/02/2004', 39000);
INSERT INTO employee VALUES (2, 'Ermintrude', 'Mew', 'F', '11/06/1971', '19/02/2001', 28000);
INSERT INTO employee VALUES (3, 'George', 'Fortescue-Smythe', 'M', '03/12/1979', '09/06/2002', 133000);
INSERT INTO employee VALUES (4, 'Jon', 'Burrows', 'M', '15/01/1956', '19/04/2010', 58000);
INSERT INTO employee VALUES (5, 'Rob', 'England', 'M', '12/12/1961', '28/08/2012', 50000);
INSERT INTO employee VALUES (6, 'Ben', 'Hargreaves', 'M', '08/08/1963', '04/11/2014', 39000);
INSERT INTO employee VALUES (7, 'Gary', 'Taylor', 'M', '12/07/1969', '31/12/2010', 115000);
INSERT INTO employee VALUES (8, 'Lauren', 'Mew', 'F', '08/10/1960', '22/02/2011', 147000);
INSERT INTO employee VALUES (9, 'Ethel', 'Taylor', 'F', '02/01/1969', '24/06/2000', 13000);
INSERT INTO employee VALUES (10, 'Laura', 'Drake', 'F', '14/10/1957', '01/03/2005', 91000);
INSERT INTO employee VALUES (11, 'Lauren', 'Hammond', 'F', '17/12/1973', '10/03/2010', 123000);
INSERT INTO employee VALUES (12, 'Ermintrude', 'Burrows', 'F', '28/08/1970', '30/10/1999', 62000);
INSERT INTO employee VALUES (13, 'Gav', 'Kraja', 'M', '08/02/1958', '26/10/2002', 77000);
INSERT INTO employee VALUES (14, 'Laura', 'Drake', 'F', '17/11/1967', '13/08/1998', 74000);
INSERT INTO employee VALUES (15, 'Rob', 'Hammond', 'M', '05/03/1961', '18/05/2010', 11000);
INSERT INTO employee VALUES (16, 'Barry', 'Tulip', 'M', '04/11/1960', '17/05/2014', 144000);
INSERT INTO employee VALUES (17, 'Frank', 'Drake', 'M', '01/09/1961', '11/01/1999', 71000);
INSERT INTO employee VALUES (18, 'Cherie', 'Salt', 'F', '31/10/1974', '21/10/1999', 129000);
INSERT INTO employee VALUES (19, 'Angie', 'Woch', 'F', '30/08/1969', '28/01/2011', 13000);
INSERT INTO employee VALUES (20, 'Harry', 'Fortescue-Smythe', 'M', '17/04/1967', '22/06/2013', 37000);
INSERT INTO employee VALUES (21, 'Faye', 'Plum', 'F', '02/02/1966', '29/09/2008', 40000);
INSERT INTO employee VALUES (22, 'Larry', 'Baker', 'M', '04/03/1976', '25/10/2006', 72000);
INSERT INTO employee VALUES (23, 'Will', 'Tulip', 'M', '27/11/1970', '11/02/2003', 75000);
INSERT INTO employee VALUES (24, 'Terry', 'McKemey', 'M', '23/11/1957', '10/06/2014', 59000);
INSERT INTO employee VALUES (25, 'Matt', 'Hammond', 'M', '25/08/1975', '09/02/2002', 81000);
INSERT INTO employee VALUES (26, 'Karen', 'Tanner', 'F', '21/11/1960', '20/11/2010', 131000);
INSERT INTO employee VALUES (27, 'Beth', 'Mew', 'F', '25/01/1960', '28/01/2013', 112000);
INSERT INTO employee VALUES (28, 'Gary', 'Brennan', 'M', '12/12/1958', '25/05/1999', 104000);
INSERT INTO employee VALUES (29, 'Dermot', 'England', 'M', '24/08/1961', '03/03/2004', 41000);
INSERT INTO employee VALUES (30, 'Ermintrude', 'Fortescue-Smythe', 'F', '03/10/1964', '25/11/2014', 34000);
INSERT INTO employee VALUES (31, 'Ben', 'Taylor', 'M', '26/07/1957', '19/04/2012', 119000);
INSERT INTO employee VALUES (32, 'Frank', 'Fortescue-Smythe', 'M', '10/10/1966', '10/03/2002', 38000);
INSERT INTO employee VALUES (33, 'Gary', 'Brennan', 'M', '23/10/1965', '05/06/2005', 127000);
INSERT INTO employee VALUES (34, 'Matt', 'Baker', 'M', '24/10/1959', '01/06/2015', 58000);
INSERT INTO employee VALUES (35, 'Barry', 'Charnock', 'M', '20/04/1960', '10/03/2007', 90000);
INSERT INTO employee VALUES (36, 'Will', 'Charnock', 'M', '06/09/1963', '31/01/2000', 92000);
INSERT INTO employee VALUES (37, 'Ben', 'Kraja', 'M', '12/02/1974', '23/03/2003', 119000);
INSERT INTO employee VALUES (38, 'Lauren', 'Hargreaves', 'F', '07/10/1960', '08/11/2007', 29000);
INSERT INTO employee VALUES (39, 'Cherie', 'Drake', 'F', '20/05/1970', '05/04/2014', 121000);
INSERT INTO employee VALUES (40, 'Harry', 'McKemey', 'M', '12/05/1961', '16/04/2014', 144000);
INSERT INTO employee VALUES (41, 'Will', 'McKemey', 'M', '31/07/1964', '07/11/2009', 64000);
INSERT INTO employee VALUES (42, 'Maureen', 'Hammond', 'F', '21/01/1969', '29/11/2005', 124000);
INSERT INTO employee VALUES (43, 'Mary', 'Tanner', 'F', '05/12/1972', '06/11/2002', 33000);
INSERT INTO employee VALUES (44, 'Victoria', 'Drake', 'F', '18/05/1963', '26/10/2002', 142000);
INSERT INTO employee VALUES (45, 'Victoria', 'Hargreaves', 'F', '18/06/1966', '26/05/2007', 138000);
INSERT INTO employee VALUES (46, 'Jon', 'Hammond', 'M', '04/07/1957', '29/10/2010', 127000);
INSERT INTO employee VALUES (47, 'Maureen', 'Brennan', 'F', '17/11/1967', '21/11/2001', 85000);
INSERT INTO employee VALUES (48, 'Gav', 'Fortescue-Smythe', 'M', '03/03/1979', '17/04/2012', 13000);
INSERT INTO employee VALUES (49, 'Faye', 'Hargreaves', 'F', '02/04/1965', '28/09/2013', 25000);
INSERT INTO employee VALUES (50, 'Jon', 'Fortescue-Smythe', 'M', '18/02/1959', '20/07/2012', 70000);
INSERT INTO employee VALUES (51, 'Jon', 'Kraja', 'M', '20/02/1965', '26/12/2002', 92000);
INSERT INTO employee VALUES (52, 'Angie', 'Hammond', 'F', '16/07/1979', '15/06/2013', 69000);
INSERT INTO employee VALUES (53, 'Jordan', 'Burrows', 'M', '30/11/1972', '19/03/2011', 76000);
INSERT INTO employee VALUES (54, 'Larry', 'Kraja', 'M', '15/08/1968', '05/05/2009', 25000);
INSERT INTO employee VALUES (55, 'Terry', 'Barr', 'M', '29/09/1968', '09/07/2004', 65000);
INSERT INTO employee VALUES (56, 'Jon', 'England', 'M', '24/09/1964', '26/05/1999', 40000);
INSERT INTO employee VALUES (57, 'George', 'England', 'M', '01/08/1972', '14/02/2014', 17000);
INSERT INTO employee VALUES (58, 'Bernard', 'Hargreaves', 'M', '07/03/1966', '17/03/2007', 119000);
INSERT INTO employee VALUES (59, 'Harriet', 'Woch', 'F', '15/12/1966', '29/12/2008', 63000);
INSERT INTO employee VALUES (60, 'Faye', 'Taylor', 'F', '09/10/1975', '17/03/1998', 80000);
INSERT INTO employee VALUES (61, 'Dave', 'Hargreaves', 'M', '31/08/1960', '05/05/2007', 41000);
INSERT INTO employee VALUES (62, 'Larry', 'Charnock', 'M', '14/10/1957', '02/09/1998', 84000);
INSERT INTO employee VALUES (63, 'Matt', 'Mew', 'M', '02/03/1967', '19/03/1999', 149000);
INSERT INTO employee VALUES (64, 'Maureen', 'Hammond', 'F', '27/07/1977', '16/05/2015', 103000);
INSERT INTO employee VALUES (65, 'Ben', 'Taylor', 'M', '16/09/1957', '08/04/2007', 29000);
INSERT INTO employee VALUES (66, 'Diane', 'Tanner', 'F', '20/05/1957', '19/10/2007', 137000);
INSERT INTO employee VALUES (67, 'Cherie', 'Hargreaves', 'F', '29/07/1961', '07/10/2004', 92000);
INSERT INTO employee VALUES (68, 'Emily', 'Smith', 'F', '10/09/1971', '09/07/2006', 135000);
INSERT INTO employee VALUES (69, 'Rob', 'Mew', 'M', '28/01/1957', '31/07/2007', 72000);
INSERT INTO employee VALUES (70, 'Harry', 'Fortescue-Smythe', 'M', '10/12/1963', '27/12/2010', 48000);
INSERT INTO employee VALUES (71, 'Jon', 'Kraja', 'M', '24/12/1960', '17/07/1999', 145000);
INSERT INTO employee VALUES (72, 'Jordan', 'Tanner', 'M', '03/04/1970', '23/10/2011', 84000);
INSERT INTO employee VALUES (73, 'Barry', 'Fortescue-Smythe', 'M', '20/12/1959', '10/09/2011', 110000);
INSERT INTO employee VALUES (74, 'Claire', 'Burrows', 'F', '21/08/1972', '10/02/2015', 13000);
INSERT INTO employee VALUES (75, 'Ben', 'Smith', 'M', '30/04/1972', '20/02/2014', 124000);
INSERT INTO employee VALUES (76, 'Pete', 'Taylor', 'M', '26/07/1958', '15/08/2015', 85000);
INSERT INTO employee VALUES (77, 'Jon', 'Drake', 'M', '29/09/1979', '07/05/2008', 114000);
INSERT INTO employee VALUES (78, 'Frank', 'Burrows', 'M', '19/03/1968', '28/02/2005', 28000);
INSERT INTO employee VALUES (79, 'Ermintrude', 'Kraja', 'F', '27/01/1975', '30/05/2003', 144000);
INSERT INTO employee VALUES (80, 'Pete', 'Charnock', 'M', '24/07/1972', '27/02/2008', 100000);
INSERT INTO employee VALUES (81, 'Sarah', 'England', 'F', '10/12/1958', '14/02/1999', 137000);
INSERT INTO employee VALUES (82, 'Zoe', 'Drake', 'F', '23/02/1964', '27/07/2000', 13000);
INSERT INTO employee VALUES (83, 'Will', 'Russell', 'M', '22/08/1967', '09/04/2007', 105000);
INSERT INTO employee VALUES (84, 'Matt', 'McKemey', 'M', '04/09/1959', '19/08/2012', 126000);
INSERT INTO employee VALUES (85, 'Ethel', 'Russell', 'F', '12/11/1979', '19/11/2004', 145000);
INSERT INTO employee VALUES (86, 'Ethel', 'England', 'F', '31/03/1979', '03/12/2001', 127000);
INSERT INTO employee VALUES (87, 'Sarah', 'Smith', 'F', '06/04/1972', '21/06/2000', 139000);
INSERT INTO employee VALUES (88, 'Dermot', 'Drake', 'M', '28/05/1969', '22/07/2007', 119000);
INSERT INTO employee VALUES (89, 'Karen', 'Taylor', 'F', '03/05/1965', '30/07/1999', 114000);
INSERT INTO employee VALUES (90, 'Victoria', 'Barr', 'F', '23/08/1965', '29/10/2009', 10000);
INSERT INTO employee VALUES (91, 'Laura', 'Hargreaves', 'F', '16/01/1968', '12/12/2012', 12000);
INSERT INTO employee VALUES (92, 'Sarah', 'Fortescue-Smythe', 'F', '28/11/1970', '30/11/2015', 17000);
INSERT INTO employee VALUES (93, 'Jordan', 'Taylor', 'M', '16/09/1959', '21/07/2000', 124000);
INSERT INTO employee VALUES (94, 'Beth', 'McKemey', 'F', '23/12/1974', '09/11/2002', 35000);
INSERT INTO employee VALUES (95, 'Pete', 'England', 'M', '25/03/1967', '12/12/2008', 24000);
INSERT INTO employee VALUES (96, 'Terry', 'Smith', 'M', '13/11/1976', '25/05/2013', 118000);
INSERT INTO employee VALUES (97, 'Will', 'Russell', 'M', '29/08/1979', '17/08/2009', 124000);
INSERT INTO employee VALUES (98, 'Jonny', 'Baker', 'M', '07/12/1962', '07/06/2010', 90000);
INSERT INTO employee VALUES (99, 'Bernard', 'Barr', 'M', '26/09/1973', '20/11/2014', 90000);
INSERT INTO employee VALUES (100, 'Maureen', 'Plum', 'F', '20/11/1962', '21/05/1999', 58000);
INSERT INTO employee VALUES (101, 'Will', 'Tulip', 'M', '29/02/1972', '23/05/2010', 25000);
INSERT INTO employee VALUES (102, 'Nadia', 'McKemey', 'F', '27/02/1968', '09/03/2005', 37000);
INSERT INTO employee VALUES (103, 'Gav', 'Charnock', 'M', '07/09/1972', '05/04/2003', 74000);
INSERT INTO employee VALUES (104, 'Zoe', 'Baker', 'F', '21/07/1960', '22/07/2011', 62000);
INSERT INTO employee VALUES (105, 'Diane', 'Brennan', 'F', '02/12/1974', '26/06/2010', 23000);
INSERT INTO employee VALUES (106, 'Gav', 'Woch', 'M', '13/06/1968', '20/10/2004', 87000);
INSERT INTO employee VALUES (107, 'Ben', 'Plum', 'M', '28/08/1970', '20/07/2004', 31000);
INSERT INTO employee VALUES (108, 'Karen', 'Hammond', 'F', '09/09/1972', '17/05/2004', 74000);
INSERT INTO employee VALUES (109, 'Cherie', 'Mew', 'F', '23/04/1969', '19/10/2012', 75000);
INSERT INTO employee VALUES (110, 'Harriet', 'Salt', 'F', '31/08/1976', '29/12/2009', 144000);
INSERT INTO employee VALUES (111, 'Diane', 'Plum', 'F', '01/11/1975', '21/05/2001', 52000);
INSERT INTO employee VALUES (112, 'Ermintrude', 'Barr', 'F', '11/01/1967', '08/09/2010', 118000);
INSERT INTO employee VALUES (113, 'Sarah', 'Hargreaves', 'F', '21/03/1974', '23/11/1999', 102000);
INSERT INTO employee VALUES (114, 'Ermintrude', 'Baker', 'F', '18/01/1966', '20/04/2010', 94000);
INSERT INTO employee VALUES (115, 'Zoe', 'Fortescue-Smythe', 'F', '01/02/1973', '28/05/2008', 15000);
INSERT INTO employee VALUES (116, 'Diane', 'England', 'F', '05/07/1976', '07/04/2009', 70000);
INSERT INTO employee VALUES (117, 'Zoe', 'England', 'F', '14/01/1972', '21/05/2005', 82000);
INSERT INTO employee VALUES (118, 'Nadia', 'Woch', 'F', '11/12/1979', '27/02/2000', 147000);
INSERT INTO employee VALUES (119, 'Victoria', 'Brennan', 'F', '11/11/1978', '21/02/2006', 20000);
INSERT INTO employee VALUES (120, 'James', 'Baker', 'M', '06/12/1979', '03/10/2003', 92000);
INSERT INTO employee VALUES (121, 'Barry', 'Mew', 'M', '06/09/1978', '15/09/2012', 62000);
INSERT INTO employee VALUES (122, 'James', 'Taylor', 'M', '09/07/1956', '23/02/2004', 45000);
INSERT INTO employee VALUES (123, 'Barry', 'Tanner', 'M', '26/03/1956', '14/11/2009', 139000);
INSERT INTO employee VALUES (124, 'Sarah', 'Hargreaves', 'F', '13/10/1977', '23/08/2005', 142000);
INSERT INTO employee VALUES (125, 'Jon', 'Kraja', 'M', '12/09/1966', '12/12/2008', 126000);
INSERT INTO employee VALUES (126, 'Bernard', 'Charnock', 'M', '12/10/1977', '15/08/2008', 15000);
INSERT INTO employee VALUES (127, 'Angie', 'Fortescue-Smythe', 'F', '28/07/1970', '11/03/2011', 124000);
INSERT INTO employee VALUES (128, 'James', 'Russell', 'M', '07/06/1957', '28/12/2005', 28000);
INSERT INTO employee VALUES (129, 'Will', 'Baker', 'M', '31/12/1974', '31/12/2006', 22000);
INSERT INTO employee VALUES (130, 'Gav', 'Baker', 'M', '28/03/1956', '29/05/2009', 63000);
INSERT INTO employee VALUES (131, 'Frank', 'Hargreaves', 'M', '17/12/1976', '11/01/2001', 42000);
INSERT INTO employee VALUES (132, 'Jon', 'Smith', 'M', '02/07/1966', '28/10/2003', 16000);
INSERT INTO employee VALUES (133, 'Emily', 'Charnock', 'F', '25/07/1956', '07/09/2003', 29000);
INSERT INTO employee VALUES (134, 'Emily', 'McKemey', 'F', '13/09/1958', '27/01/2012', 127000);
INSERT INTO employee VALUES (135, 'Mary', 'Salt', 'F', '11/12/1965', '15/01/1998', 23000);
INSERT INTO employee VALUES (136, 'Emily', 'McKemey', 'F', '15/03/1966', '28/04/2012', 23000);
INSERT INTO employee VALUES (137, 'Lauren', 'Tulip', 'F', '19/04/1968', '25/09/2003', 113000);
INSERT INTO employee VALUES (138, 'Karen', 'Taylor', 'F', '27/09/1961', '07/10/2009', 114000);
INSERT INTO employee VALUES (139, 'Harry', 'Smith', 'M', '27/04/1979', '16/06/2004', 94000);
INSERT INTO employee VALUES (140, 'Cherie', 'Hammond', 'F', '28/10/1967', '22/01/2000', 42000);
INSERT INTO employee VALUES (141, 'Bella', 'England', 'F', '19/08/1975', '27/05/2011', 97000);
INSERT INTO employee VALUES (142, 'Larry', 'McKemey', 'M', '31/07/1966', '21/04/1999', 109000);
INSERT INTO employee VALUES (143, 'Jordan', 'Drake', 'M', '17/05/1966', '20/04/2004', 45000);
INSERT INTO employee VALUES (144, 'Barry', 'England', 'M', '07/10/1974', '23/02/2006', 62000);
INSERT INTO employee VALUES (145, 'Ermintrude', 'Woch', 'F', '09/02/1972', '17/08/2010', 94000);
INSERT INTO employee VALUES (146, 'Gary', 'Brennan', 'M', '04/02/1971', '01/09/2009', 130000);
INSERT INTO employee VALUES (147, 'Jon', 'Tulip', 'M', '16/04/1956', '21/10/2006', 46000);
